"building_name","total_files","high_priority_files","medium_priority_files","low_priority_files","review_files"
"Akasia","102","12","12","29","49"
"Azores","2093","2093","0","0","0"
"Bonifay","456","374","7","45","30"
"Carissa Lane","135","5","0","2","128"
"Colnbrook","65","19","24","1","21"
"Genisis on Fairmount","408","4","138","180","86"
"Gosforth Park","135","2","4","20","109"
"Hazelmere","2383","2383","0","0","0"
"La Montagne","13","3","3","5","2"
"QueensGate","80","3","0","73","4"
"Rivonia Gates","462","39","73","202","148"
"Taragona","821","322","20","279","200"
"Transvalia","132","66","0","7","59"
"VILLINO GLEN","302","7","36","110","149"
"Vista Del Monte","614","540","19","37","18"
